"idtweet,"datecreated","username","text","lang","location","lat","lng"
"918946229207232512","Fri Oct 13 21:07:08 +0000 2017","PHarmonni","Full -&gt; https://t.co/z52kPQm0kX 🎬 Sinopsis : Mbah John adalah sosok lelaki nyentrik… https://t.co/sCoWFdb8DJ","in","Indonesia","-7.14591398","111.88694663"
"918946373306904576","Fri Oct 13 21:07:43 +0000 2017","CHICKSTOREinc",". SHORT CARGO ● CODE: Just&amp;Co White ● PRICE: IDR 135K ( Belum Termasuk Ongkir… https://t.co/rAiMXBk2OU","in","Indonesia","-6.19390717","106.76477194"
"918946532904271873","Fri Oct 13 21:08:21 +0000 2017","dimanamacetid","[04:05] #PASURUAN Pasar Ngopak #LANCAR #TMC","in","Indonesia","-7.699106","112.975462"
"918946534678515712","Fri Oct 13 21:08:21 +0000 2017","dimanamacetid","[04:07] #JAKARTA Tol Ulujami - Pd. Ranji - Serpong #LANCAR #JasaMarga","in","Indonesia","-6.241682","106.758682"
"918946582711754752","Fri Oct 13 21:08:33 +0000 2017","CHICKSTOREinc",". SHORT CARGO ● CODE: Just&amp;Co Grey Old ● PRICE: IDR 135K ( Belum Termasuk Ongkir… https://t.co/cddujtNM37","in","Indonesia","-6.19390717","106.76477194"
"918946908491595776","Fri Oct 13 21:09:50 +0000 2017","CHICKSTOREinc",". SHORT CARGO ● CODE: Just&amp;Co Grey ● PRICE: IDR 135K ( Belum Termasuk Ongkir… https://t.co/XeBXRm2N5U","in","Indonesia","-6.19390717","106.76477194"
"918947104395087872","Fri Oct 13 21:10:37 +0000 2017","ChelJoanna","japan~ (@ Soekarno-Hatta International Airport - @cgk_ap2 in Tangerang) https://t.co/bTtRHlPBMh","in","Indonesia","-6.124183","106.660417"
"918947147902484480","Fri Oct 13 21:10:47 +0000 2017","CHICKSTOREinc",". SHORT CARGO ● CODE: Just&amp;Co Brown ● PRICE: IDR 135K ( Belum Termasuk Ongkir… https://t.co/0GYk5ySHIc","in","Indonesia","-6.19390717","106.76477194"
"918947164537139202","Fri Oct 13 21:10:51 +0000 2017","ChelJoanna","I m at Terminal 2D in Tangerang, Banten https://t.co/EOQykYQVzK","in","Indonesia","-6.12309228","106.65183773"
"918947267939356672","Fri Oct 13 21:11:16 +0000 2017","CHICKSTOREinc",". SHORT CARGO ● CODE: Just&amp;Co Black ● PRICE: IDR 135K ( Belum Termasuk Ongkir… https://t.co/BcXOYaATxr","in","Indonesia","-6.19390717","106.76477194"
"918947407374770176","Fri Oct 13 21:11:49 +0000 2017","RenoNurSalim"," Alvin TekniK Melayani: Pasang Filter, Pemanas Air (Water Heater), Ganti Isi Filter,… https://t.co/ygU8z0APgM","in","Indonesia","-6.29178979","106.79215057"
"918947443567353856","Fri Oct 13 21:11:58 +0000 2017","CHICKSTOREinc",". SHORT CARGO ● CODE: Just&amp;Co Black ● PRICE: IDR 135K ( Belum Termasuk Ongkir… https://t.co/qlTER1xYXu","in","Indonesia","-6.19390717","106.76477194"
"918947824598994944","Fri Oct 13 21:13:29 +0000 2017","delista20","Paraaahhh nyentuh nih lagu @RaffiAhmadLagi @familyrans_fc… https://t.co/1BE1aiyxGo","in","Indonesia","-8.5","116.667"
"918947899337211905","Fri Oct 13 21:13:47 +0000 2017","rudih77450348","Baru saja mengirim foto @ The Molvcca https://t.co/8TMj43Flu8","in","Indonesia","-6.1939183","106.8182895"
"918947935873777664","Fri Oct 13 21:13:55 +0000 2017","anakbaik_09","masih dengan acara @jsop in rock #MenjilatMatahari #concert kemarin, Rabu, 11 Oktober 2017, di… https://t.co/fMCHfZ9abM","in","Indonesia","-6.2105727","106.8205805"
"918948049405214721","Fri Oct 13 21:14:22 +0000 2017","breihtner","Dengan segala perbuatan yg ada,sampai pagi ini masih mendoakan dan menyadarkan aku,syaang yg… https://t.co/1y6QGwkJEQ","in","Indonesia","-9.105","124.898"
"918948528193396736","Fri Oct 13 21:16:17 +0000 2017","dody_we","At Lapangan Matesih [pic] — https://t.co/FYrNJ6i3tg","in","Indonesia","-7.64446","111.02822"
"918948941009260544","Fri Oct 13 21:17:55 +0000 2017","ptgamisosialglo","Baru saja mengirim foto @ Kota Summarecon Bekasi https://t.co/GujhriopNF","in","Indonesia","-6.22592881","106.99675083"
"918949132009656321","Fri Oct 13 21:18:40 +0000 2017","dimanamacetid","[04:08] #JAKARTA Tol TMII - Cikunir - Cakung - Semper #LANCAR #JasaMarga","in","Indonesia","-6.305746","106.887001"
"918949133968343041","Fri Oct 13 21:18:41 +0000 2017","dimanamacetid","[04:08] #KARAWANG Dawuan - Padalarang - Pasteur - Cileunyi #LANCAR #JasaMarga","in","Indonesia","-6.419153","107.419228"
"918949135876808705","Fri Oct 13 21:18:41 +0000 2017","dimanamacetid","[04:08] #JAKARTA Tol Cengkareng - Pluit - Tomang - Cawang #LANCAR #JasaMarga","in","Indonesia","-6.105245","106.696793"
"918949138200440833","Fri Oct 13 21:18:42 +0000 2017","dimanamacetid","[04:09] #JAKARTA Tol Ciawi - TMII - Cawang #LANCAR #JasaMarga","in","Indonesia","-6.305239","106.883934"
"918949140113043457","Fri Oct 13 21:18:42 +0000 2017","dimanamacetid","[04:09] #JAKARTA Tol Cawang - TMII - Cibubur - Bogor - Ciawi #LANCAR #JasaMarga","in","Indonesia","-6.243125","106.85955"
"918949228302364672","Fri Oct 13 21:19:03 +0000 2017","talcacontigo","https://t.co/IXJl5fnJPp #hot Bercumbu dengan Sang Priyayi, Royal Enfield Classic 350 https://t.co/H8LaoZnHeC https://t.co/JqH9QfoyKJ #sex","in","Indonesia","-3.48494626","104.83480453"
"918949240960897024","Fri Oct 13 21:19:06 +0000 2017","CHICKSTOREinc",". SHORT CARGO ● CODE: Just&amp;Co Cream ● PRICE: IDR 135K ( Belum Termasuk Ongkir… https://t.co/MsK3KIcJQB","in","Indonesia","-6.19390717","106.76477194"
